Title,Author,Language Level
Hop on Pop,Dr. Seuss,level_6a
"Jesse Bear,What Will You Wear?",Nancy White Carlstrom,level_6a
Eating the Alphabet: Fruits and Vegetables from A to Z,Lois Ehlert,level_6a
Black? White! Day? Night!,Laura Vaccaro Seeger,level_6a
Big Red Barn,Margaret Wise Brown,level_6a
Noisy Nora,Rosemary Wells,level_6a
Sheep in a Jeep,Nancy Shaw,level_6a
Silly Sally,Audrey Wood,level_6a
How Do Dinosaurs Say Goodnight?,Jane Yolen,level_6a
Angus and the Cat,Marjorie Flack,level_6a
Swimmy,Leo Lionni,level_6a
If You Give a Mouse a Cookie,Laura Numeroff,level_6a
Alligators All Around,Maurice Sendak,level_6a
Feast for 10,Cathryn Falwell,level_6a
One Was Johnny: A Counting Book,Maurice Sendak,level_6a
Ten Nine Eight,Molly Bang,level_6a
Harold and the Purple Crayon,Crockett Johnson,level_6a
"In the Tall, Tall Grass",Denise Fleming,level_6a
Mr. Gumpy's Outing,John Burningham,level_6a
Guess How Much I Love You,Sam McBratney,level_6a
Mean Soup,Betsy Everitt,level_5a
The Doorbell Rang,Pat Hutchins,level_5a
What do you do with a kangaroo?,Mercer Mayer,level_5a
The Icky Bug Alphabet Book,Jerry Pallotta,level_5a
My Very First Mother Goose,edited by Iona Opie,level_5a
A Rainbow of My Own,Don Freeman,level_5a
The Listening Walk,Paul Showers,level_5a
The Little Red Hen,retold by Paul Galdone,level_5a
The Runaway Bunny,Margaret Wise Brown,level_5a
We're Going on a Bear Hunt,Michael Rosen,level_5a
Chicka Chicka Boom Boom,"Bill  Martin Jr. and, John Archambault",level_5a
Old Black Fly,Jim Aylesworth,level_5a
One Hundred Hungry Ants,Elinor  J. Pinczes,level_5a
The ABC Bunny,Wanda Gag,level_5a
Harry the Dirty Dog,Gene Zion,level_5a
The Gigantic Turnip,Aleksei Tolstoy,level_5a
Green Eggs and Ham,Dr. Seuss,level_5a
Miss Spider's Tea Party,David Kirk,level_5a
Ask Mr. Bear,Marjorie Flack,level_5a
The Treasure,Uri Shulevitz,level_5a
Henny Penny,retold by Paul Galdone,level_4a
Alphabears: An ABC Book,Kathleen Hague,level_4a
Bat Jamboree,Kathi Appelt,level_4a
Curious George,H.A. Rey,level_4a
Make Way for Ducklings,Robert McCloskey,level_4a
Millions of Cats,Wanda Gag,level_4a
Stone Soup,Marcia Brown,level_4a
The Three Billy Goats Gruff,P.C. Asbjornsen  and J.E. Moe,level_4a
Tikki Tikki Tembo,retold by Arlene Mosel,level_4a
A House is a House for Me,Mary Ann Hoberman,level_4a
Chicken Soup with Rice: A Book of Months,Maurice Sendak,level_4a
Fireman Small,Wong Herbert Yee,level_4a
Mother Goose Numbers on the Loose,Leo and Diane Dillon,level_4a
Possum Come A-Knockin',Nancy Van Laan,level_4a
This Is the House that Jack,"Built, Simms Taback",level_4a
There Was an Old Lady Who Swallowed a Trout,Teri Sloat,level_4a
Leo the Late Bloomer,Robert Kraus,level_4a
